plot_year,baseline_debt_pct,immediate_adjustment_debt_pct,phased_adjustment_debt_pct
2040.375,127.76581745415628,90.1827061656524,95.05553776120215
2040.625,128.32669867363106,90.0430752227336,94.91326416334938
2040.875,128.90125985157363,89.91650458266346,94.78405129527509
2041.125,129.4437884486441,89.76614641222831,94.62995325993752
2041.375,129.9848796689493,89.61343060296856,94.47356801079766
2041.625,130.52288558377273,89.45716135172181,94.31363659188897
2041.875,131.0878266907657,89.32736172015314,94.1801806360306
2042.125,131.72894016772233,89.24808769736798,94.10018125341028
2042.375,132.3672009681304,89.16515335634004,94.01651321976613
2042.625,133.00258269298448,89.07843323611127,93.92906295542593
2042.875,133.65147443870052,89.0043168116979,93.85421931686109
2043.125,134.2153924127499,88.87156500120659,93.71778312864669
2043.375,134.77439916366586,88.7338158459145,93.5763071814895
2043.625,135.3295080727209,88.59173236482162,93.43049645987841
2043.875,135.90498146236664,88.46957965344903,93.30461555337752
2044.125,136.55452969062978,88.3938358254988,93.2279181766023
2044.375,137.2029845774727,88.31540089405779,93.14861177611293
2044.625,137.8480622842841,88.23270903095853,93.06504866249249
2044.875,138.51108729453742,88.16708369606474,92.99855228430374
2045.125,139.1400704867071,88.07762529139464,92.90715870745737
2045.375,139.7626376700802,87.98200884877066,92.80950338630343
2045.625,140.38145853129686,87.88195035677907,92.70740500156779
2045.875,141.0156992310618,87.7966153829756,92.62002910948925
2046.125,141.67796826447298,87.72670919169636,92.54915970912522
2046.375,142.34038222828613,87.65495382437001,92.47655415785843
2046.625,142.9996197289116,87.57912989287992,92.39988021913956
2046.875,143.6792622942885,87.52281787600846,92.34271836111554
2047.125,144.36945535124403,87.47070092599928,92.29024285321346
2047.375,145.0538657881904,87.41274335292475,92.23185672552228
2047.625,145.7350382752568,87.35056854528895,92.16926938862385
2047.875,146.4338938012222,87.30509864783045,92.12340000653349
2048.125,147.09592688040095,87.23531032179325,92.05212425349711
2048.375,147.75636314111838,87.16242053481844,91.97782002624079
2048.625,148.413232998909,87.08516160380874,91.8991528230896
2048.875,149.0930018257007,87.0299992336519,91.84258697691715
2049.125,149.82359032111566,87.00223023939161,91.8151724763539
2049.375,150.54921773147464,86.96913041958169,91.78236739122073
2049.625,151.27178150931258,86.93187447245,91.74540964581712
2049.875,152.01071469207935,86.90989452780936,91.72373065793997
2050.125,152.72274809993652,86.87009481144554,91.68348167681646
2050.375,153.4332578905127,86.82726002224358,91.64024430706606
2050.625,154.140868562569,86.78055427463418,91.59313619952987
2050.875,154.87125589010662,86.75565260096018,91.56783193151234
2051.125,155.648221458978,86.75461070858177,91.5679234108337
2051.375,156.42311013361638,86.75011993428447,91.56457786783601
2051.625,157.1954259619238,86.74180251483008,91.5574077472584
2051.875,157.9940096900604,86.75849737420364,91.57525196519221
2052.125,158.73482269895175,86.74091476152543,91.55714719197705
2052.375,159.4712543650402,86.71847296294803,91.53414563904903
2052.625,160.2041659604006,86.69156077506419,91.50667307555679
2052.875,160.94761863868504,86.67423854327649,91.48878982738164
2053.125,161.7226036405996,86.67126974075028,91.48631121041332
2053.375,162.4949413081375,86.66420785488059,91.4797628925479
2053.625,163.2639194237955,86.65263800190375,91.46870742466417
2053.875,164.05582344289482,86.66284432741035,91.47942893533236
