scenario,inflation_rate,inflation_duration_quarters,rate_regime,rate_shock_basis_points,rate_response_lag_quarters,first_shock_quarter_debt_gdp_difference_pp,shock_end_quarter,shock_end_debt_gdp_difference_pp,shock_end_nominal_debt_difference_billions,shock_end_nominal_gdp_difference_billions_saar,minimum_debt_gdp_difference_quarter,minimum_debt_gdp_difference_pp,end_debt_gdp_difference_pp,end_nominal_debt_difference_billions,end_nominal_gdp_difference_billions_saar,end_cumulative_interest_difference_billions,debt_gdp_benefit_erased_quarter
stress_0.15_4_rates_plus_500bp_delayed_4q,0.15,4,rates_plus_500bp_delayed_4q,500.0,4,-2.8782243604439373,2027Q4,-10.667848999853224,223.8776700218441,4258.388256257313,2027Q4,-10.667848999853224,-7.611933011567218,2979.4814142223768,5904.564884353706,2979.4814142223768,
stress_0.15_8_rates_unchanged,0.15,8,rates_unchanged,0.0,0,-2.8782243604439373,2028Q4,-20.476923758109223,589.8769241825939,9459.710366141051,2036Q3,-23.52215843974562,-23.52215843974562,924.9105329990853,12619.876797134217,924.9105329990889,
stress_0.15_8_rates_plus_500bp_immediate,0.15,8,rates_plus_500bp_immediate,500.0,0,-2.8509489703656743,2028Q4,-17.80336109507006,1791.981718534269,9459.710366141051,2028Q4,-17.80336109507006,-14.160805623747619,6540.144425364444,12619.876797134217,6540.144425364437,
stress_0.15_8_rates_plus_500bp_delayed_4q,0.15,8,rates_plus_500bp_delayed_4q,500.0,4,-2.8782243604439373,2028Q4,-19.549824943322214,1006.7251789477741,9459.710366141051,2028Q4,-19.549824943322214,-15.33376567009408,5836.566092606896,12619.876797134217,5836.566092606892,
stress_0.2_4_rates_unchanged,0.2,4,rates_unchanged,0.0,0,-3.906875311380964,2027Q4,-14.234232293855332,311.33336882002186,5928.688542131764,2036Q3,-16.55014328324702,-16.55014328324702,594.065869029946,8220.55765457805,594.0658690299497,
stress_0.2_4_rates_plus_500bp_immediate,0.2,4,rates_plus_500bp_immediate,500.0,0,-3.8798885903949754,2027Q4,-13.22707985309437,715.072651153343,5928.688542131764,2027Q4,-13.22707985309437,-11.393364497426983,3460.400841575247,8220.55765457805,3460.400841575254,
stress_0.2_4_rates_plus_500bp_delayed_4q,0.2,4,rates_plus_500bp_delayed_4q,500.0,4,-3.906875311380964,2027Q4,-14.234232293855332,311.33336882002186,5928.688542131764,2027Q4,-14.234232293855332,-11.941093729098974,3155.951975832955,8220.55765457805,3155.951975832955,
stress_0.2_8_rates_unchanged,0.2,8,rates_unchanged,0.0,0,-3.906875311380964,2028Q4,-26.751213186132183,837.2969690526079,13454.502146354534,2036Q3,-30.71899123451104,-30.71899123451104,1319.8021361425344,17949.192193189367,1319.8021361425308,
stress_0.2_8_rates_plus_500bp_immediate,0.2,8,rates_plus_500bp_immediate,500.0,0,-3.8798885903949754,2028Q4,-24.28588457801466,2044.258945333073,13454.502146354534,2028Q4,-24.28588457801466,-22.049012304096006,6982.378745858456,17949.192193189367,6982.378745858445,
stress_0.2_8_rates_plus_500bp_delayed_4q,0.2,8,rates_plus_500bp_delayed_4q,500.0,4,-3.906875311380964,2028Q4,-25.897901825283974,1255.0564365251194,13454.502146354534,2028Q4,-25.897901825283974,-23.143884046358398,6267.291065930593,17949.192193189367,6267.291065930574,
