quarter,quarter_end,calendar_year,calendar_quarter,fiscal_year,nominal_gdp_billions_saar,real_gdp_billions_chained_saar,annual_real_gdp_growth_rate,annual_inflation_rate,annual_tips_reference_inflation_rate,primary_deficit_billions,marketable_interest_excluding_tips_inflation_billions,bills_interest_cost_billions,notes_interest_cost_billions,bonds_interest_cost_billions,tips_real_interest_cost_billions,frns_interest_cost_billions,other_public_debt_interest_billions,tips_inflation_compensation_billions,tips_deflation_floor_cost_billions,modeled_debt_interest_cost_billions,modeled_total_deficit_billions,other_financing_adjustment_billions,beginning_debt_held_by_public_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,primary_deficit_gdp_ratio_annualized,modeled_interest_gdp_ratio_annualized,modeled_total_deficit_gdp_ratio_annualized,marketable_debt_billions,other_public_debt_billions,bills_outstanding_billions,notes_outstanding_billions,bonds_outstanding_billions,nominal_fixed_rate_debt_outstanding_billions,tips_outstanding_billions,frns_outstanding_billions,principal_maturing_billions,principal_refinanced_billions,frn_principal_reset_billions,principal_repriced_or_reset_billions,net_new_borrowing_requirement_billions,genuinely_new_borrowing_billions,debt_repayment_billions,gross_treasury_issuance_billions,average_effective_marketable_rate_excluding_tips_inflation,average_effective_debt_cost_rate_including_tips_inflation,average_new_issuance_stated_rate,share_marketable_debt_repriced_since_scenario_start,cumulative_modeled_interest_billions,debt_identity_residual_billions,issuance_rate_shock_basis_points
2050Q4,2050-12-31,2050,4,2051,79430.88123132168,36889.43149453083,0.015219177974386433,0.020390207990024445,0.022766332942187217,427.29039000000006,2780.1230084323965,594.4398647981443,1549.9236076905058,400.75341819208154,170.0471394396452,64.95897831201799,6.063659804929099,72.40626588648927,0.0,2858.5929341238148,3285.883324123815,0.0,139873.7191008015,143159.6024249253,1.8023166834572866,0.021517595342075004,0.14395373133524278,0.1654713266773178,142576.83838793068,582.7640369946275,29993.01277873337,72149.57122379831,24068.55524591257,96218.12646971087,13128.031177063922,3237.6679624225226,31641.679182403383,31641.679182403386,3162.9447747787212,34804.623957182106,3213.4770582373258,3213.4770582373258,0.0,34855.15624064071,0.08071327276124109,0.08174782089160691,0.08250291077586067,0.8457026226597364,45380.729965796396,0.0,500.0
2051Q1,2051-03-31,2051,1,2051,80109.2122534556,37027.85847642142,0.015094632227163673,0.01921496163380243,0.02276633294218544,427.29039000000006,2877.9520112476466,608.4832467485533,1609.7477728560866,416.60452033532096,176.62286552943104,66.49360577825256,6.063659804929099,74.08971689861494,0.0,2958.1053879511906,3385.3957779511907,0.0,143159.6024249253,146544.9982028765,1.8293151821194589,0.021335393420077897,0.1477036313173128,0.1690390247373907,145962.23416588188,582.7640369946275,30706.304683841987,73865.42769645927,24640.952082176445,98506.37977863572,13434.883729275965,3314.665974128202,32587.095486988404,32587.095486988404,3237.6679624225226,35824.76344941093,3311.306061052576,3311.306061052576,0.0,35898.40154804098,0.08166841556292098,0.08265195873263083,0.0824251879532831,0.8643654286915714,48338.835353747585,0.0,500.0
2051Q2,2051-06-30,2051,2,2051,80793.3361481909,37166.80490327331,0.015094632227163673,0.01921496163380243,0.022850408612718587,427.29039000000006,2981.17399758081,622.9541562734444,1671.0413566342881,433.0549036615517,186.04862856786616,68.07495244365793,6.063659804929099,76.09912894140639,0.0,3063.3367863271455,3490.6271763271457,0.0,146544.9982028765,150035.62537920364,1.8570297073017106,0.02115473430710995,0.15166284410924102,0.17281757841635095,149452.861342209,582.7640369946275,31441.83174508633,75634.77185950741,25231.1920103565,100865.96386986392,13751.001513972229,3394.064213286561,33148.50436499167,33148.50436499167,3314.665974128202,36463.17033911987,3414.5280473857392,3414.5280473857392,0.0,36563.03241237741,0.0825265352472088,0.08361491211283159,0.08250985061756144,0.8811985021923802,51402.172140074734,0.0,500.0
2051Q3,2051-09-30,2051,3,2051,81483.30238602485,37306.272724295144,0.015094632227163673,0.01921496163380243,0.022850408612718587,427.29039000000006,3084.5437521520826,637.8761615284388,1734.1510588439382,449.81209495536433,192.99884304396716,69.70559378037277,6.063659804929099,77.88971295709462,0.0,3168.4971249141063,3595.7875149141064,0.0,150035.62537920364,153631.41289411776,1.885434296296599,0.020975604939314996,0.1555409283685357,0.1765165333078507,153048.64885712313,582.7640369946275,32199.62579337726,77457.68028366225,25839.300573869878,103296.98085753212,14076.176090251838,3475.8661159618955,34019.82663342502,34019.82663342502,3394.064213286561,37413.89084671158,3517.897801957012,3517.897801957012,0.0,37537.724435382035,0.08339237096420764,0.08447319406723491,0.08246814002418654,0.898183606208564,54570.66926498884,0.0,500.0
2051Q4,2051-12-31,2051,4,2052,82179.16085992736,37446.26389600992,0.015094632227163673,0.01921496163380243,0.022850408612718587,450.937025,3191.906800489053,653.2499082831412,1798.8841069473287,466.98508731229987,201.40209758971423,71.38560035656744,6.070944355391532,79.73159730141887,0.0,3277.709342145863,3728.646367145863,0.0,153631.41289411776,157360.0592612636,1.9148413979242316,0.021948971991505858,0.15953968416555867,0.18148865615706453,156777.29522426898,582.7640369946275,32985.64234387818,79348.47923446525,26470.056907336555,105818.5361418018,14412.402174014615,3560.714564574404,34492.25944166754,34492.25944166755,3475.8661159618955,37968.12555762944,3648.9147698444444,3648.9147698444444,0.0,38141.17421151199,0.08412822512274777,0.08533956123686369,0.0824428381447413,0.9125791087007508,57848.378607134706,-2.9103830456733704e-11,500.0
2052Q1,2052-03-31,2052,1,2052,82909.72255926982,37585.44010062169,0.014949853670766178,0.020776005458570612,0.022850408612718587,450.937025,3298.5248664358005,669.1962190514284,1862.7055500290696,484.70794519776695,208.78697678758704,73.12817536994683,6.070944355391532,81.63608063133188,0.0,3386.231891422524,3837.168916422524,0.0,157360.0592612636,161197.22817768616,1.9442500011075396,0.021755567915578915,0.16336959222131286,0.1851251601368918,160614.46414069153,582.7640369946275,33794.625603579625,81294.52566018731,27119.243383626406,108413.76904381372,14758.027283402043,3648.0422098961394,35539.570536946776,35539.57053694677,3560.714564574404,39100.28510152117,3755.532835791192,3755.532835791192,0.0,39295.10337273796,0.0844124415256791,0.08607601973002288,0.08236602715364671,0.9179629295480997,61234.61049855723,2.9103830456733704e-11,500.0
2052Q2,2052-06-30,2052,2,2052,83646.77885396908,37725.133580227404,0.014949853670766178,0.020776005458570612,0.02253572169058371,450.937025,3390.682024688017,685.6084669326216,1908.3889898728949,502.6696385341638,219.09326246259394,74.92166688574197,6.070944355391532,82.45213952804976,0.0,3479.2051085714584,3930.1421335714585,0.0,161197.22817768616,165127.3703112576,1.974103158228456,0.021563868025916352,0.16637604729025945,0.1879399153161758,164544.60627426297,582.7640369946275,34623.46053321647,83288.32619065643,27784.3602707119,111072.68646136833,15110.946488162957,3737.5127915152257,36332.4607104723,36332.4607104723,3648.0422098961394,39980.502920368446,3847.6899940434087,3847.6899940434087,0.0,40180.15070451571,0.0846203455841402,0.08633411747592493,0.08247389946688992,0.921963894813484,64713.81560712869,-2.9103830456733704e-11,500.0
2052Q3,2052-09-30,2052,3,2052,84390.3874801053,37865.34625737856,0.014949853670766178,0.020776005458570612,0.02253572169058371,450.937025,3482.21683104987,702.4234555676293,1955.1934573256574,520.7901288303946,227.0506203704452,76.75916895574395,6.070944355391532,84.42387619408765,0.0,3572.7116515993494,4023.6486765993495,0.0,165127.3703112576,169151.01898785695,2.004387277256354,0.021373857306025836,0.16934211387246453,0.19071597117849037,168568.25495086232,582.7640369946275,35472.013071316505,85329.55833483748,28465.29998800503,113794.85832284251,15472.27171886,3829.1118378433357,37272.79809267557,37272.79809267557,3737.5127915152257,41010.310884190796,3939.2248004052617,3939.2248004052617,0.0,41212.02289308083,0.08484134309752432,0.08654438437104521,0.08243731836976077,0.926275443625226,68286.52725872803,0.0,500.0
2052Q4,2052-12-31,2052,4,2053,85140.60668702472,38006.08006177218,0.014949853670767954,0.020776005458570612,0.022535721690584598,462.968345,3576.7016456114657,719.6384651843335,2003.111381910307,539.1015332845784,236.20988086253905,78.6403843697075,6.072401265484019,86.44257678085205,0.0,3669.216623657802,4132.184968657802,0.0,169151.01898785695,173283.20395651477,2.0352592106079372,0.02175076561067332,0.1723838608360297,0.19413462644670298,172700.43991952014,582.7640369946275,36343.51067530521,87425.9858899558,29164.65247996794,116590.63836992375,15843.103129749908,3923.1877445412756,38089.82900677858,38089.82900677858,3829.1118378433357,41918.94084462192,4045.7423918769496,4045.7423918769496,0.0,42135.57139865553,0.0850282531105289,0.08676782784078194,0.08247395289757581,0.9299422607863995,71955.74388238584,2.9103830456733704e-11,500.0
2053Q1,2053-03-31,2053,1,2053,85878.75613703064,38146.96482258528,0.014910252990658845,0.01992533565251664,0.02253572169058371,462.968345,3672.462111013843,737.3189728252545,2052.32501876671,557.8328847189537,244.41276639940898,80.57246830351644,6.072401265484019,88.51438777868212,0.0,3767.048900058009,4230.017245058009,0.0,173283.20395651477,177513.22120157277,2.067021335501501,0.021563812324494978,0.17545894093049957,0.19702275325499458,176930.45716457814,582.7640369946275,37235.63614139472,89572.03471576194,29880.558255265234,119452.59297102717,16222.73767668797,4019.4903754682787,39212.936352500066,39212.936352500066,3923.1877445412756,43136.12409704134,4141.502857279326,4141.502857279326,0.0,43354.43920977939,0.08526655434994639,0.08695704636217012,0.08240209393204603,0.934634458307875,75722.79278244385,0.0,500.0
