quarter,reference_gross_issuance_billions,reference_scaled_gross_issuance_billions,required_gross_issuance_billions,stress_nominal_issuance_yield_proxy,reference_nominal_issuance_yield_proxy,nominal_issuance_yield_gap_basis_points,required_private_capacity_multiple,private_absorption_capacity_multiple_at_actual_yield,private_absorption_capacity_billions_at_actual_yield,private_absorption_shortfall_billions_at_actual_yield,required_yield_gap_basis_points_without_capacity_limit,required_short_yield_without_capacity_limit,finite_private_absorption_capacity_exceeded,maximum_private_absorption_capacity_multiple,scenario,capacity_scenario
2048Q4,26657.666013552207,26246.7865083103,39258.274670564206,0.040462422425396945,0.04062695957128773,-1.645371458907849,1.4957364269387488,0.9991773142705461,26225.19365160589,13033.081018958317,991.4728538774975,0.13029728538774976,False,1.5,stress_no_interest_spending,central_capacity
2049Q1,27130.72732273093,26711.586177514568,39873.54537844541,0.040467928296767736,0.04062695957128773,-1.59031274519994,1.492743452727281,0.9992048436274,26690.346289543264,13183.199088902144,985.4869054545619,0.12969869054545619,False,1.5,stress_no_interest_spending,central_capacity
2049Q2,27464.242103351102,27038.999222708244,40351.1741364806,0.0404732499250697,0.04062695957128773,-1.5370964621803234,1.4923323827234092,0.9992314517689098,27018.218447685183,13332.955688795417,984.6647654468184,0.12961647654468184,False,1.5,stress_no_interest_spending,central_capacity
2049Q3,27714.325668519716,27284.28477782349,40749.88944165151,0.04047839347571546,0.04062695957128773,-1.4856609557226812,1.4935296920362298,0.9992571695221386,27264.017179523875,13485.872262127636,987.0593840724596,0.12985593840724596,False,1.5,stress_no_interest_spending,central_capacity
2049Q4,27801.516571393306,27369.225105904963,40986.37168832634,0.040483364907796054,0.04062695957128773,-1.4359466349167516,1.4975349696503995,0.9992820266825416,27349.574732559413,13636.796955766928,995.0699393007989,0.1306569939300799,False,1.5,stress_no_interest_spending,central_capacity
2050Q1,28253.181143009184,27812.985753322217,41588.31411162013,0.0404881699809857,0.04062695957128773,-1.3878959030202975,1.4952840547388002,0.9993060520484899,27793.68498883332,13794.62912278681,990.5681094776004,0.13020681094776004,False,1.5,stress_no_interest_spending,central_capacity
2050Q2,28568.823077497796,28122.848959959494,42052.241426380766,0.04049281426221544,0.04062695957128773,-1.3414530907229079,1.495305169339477,0.9993292734546385,28103.986218630856,13948.25520774991,990.6103386789539,0.1302110338678954,False,1.5,stress_no_interest_spending,central_capacity
2050Q3,28924.75631813501,28472.383461255,42560.71665638121,0.0404973031321235,0.04062695957128773,-1.296564391642316,1.4948069491371352,0.9993517178041789,28453.92532198448,14106.791334396734,989.6138982742704,0.13011138982742704,False,1.5,stress_no_interest_spending,central_capacity
2050Q4,29220.565062234782,28762.74331364673,43001.19641729614,0.040501641791289705,0.04062695957128773,-1.253177799980243,1.4950311223232262,0.9993734111000099,28744.720897953135,14256.475519343003,990.0622446464524,0.13015622446464525,False,1.5,stress_no_interest_spending,central_capacity
2051Q1,29829.388892129264,29361.21574586034,43649.24555715177,0.04050583526626129,0.04062695957128773,-1.2112430502644185,1.4866293662688648,0.9993943784748678,29343.433961600596,14305.811595551175,973.2587325377295,0.12847587325377297,False,1.5,stress_no_interest_spending,central_capacity
