scenario,closure_start,closure_end,remaining_horizon_quarters,starting_debt_gdp_ratio,required_fiscal_adjustment_gdp_share,status,boundary_terminal_debt_gdp_ratio
fiscal_scare_250bp,2047Q1,2054Q4,32,1.5353114821463172,0.06472465932099158,solved,0.2576501989439517
fiscal_scare_250bp,2048Q1,2054Q4,28,1.5827309333578214,0.06673918103647238,solved,0.5070115303801211
fiscal_scare_250bp,2049Q1,2054Q4,24,1.6343755001372149,0.0688193164008913,solved,0.7502573441775648
fiscal_scare_250bp,2050Q1,2054Q4,20,1.694062949552293,0.07096611734639167,solved,0.98651678731498
fiscal_scare_250bp,2051Q1,2054Q4,16,1.7580353548580372,0.07318150060669487,solved,1.2156546728460318
fiscal_scare_250bp,2052Q1,2054Q4,12,1.8297934923018129,0.07546639829622646,solved,1.4376909247289935
fiscal_scare_250bp,2053Q1,2054Q4,8,1.9035878252411809,0.07813263017307563,solved,1.6530902898400601
serious_crisis_500bp,2045Q1,2054Q4,40,1.3851108729453743,0.08691036562942221,solved,0.0
serious_crisis_500bp,2046Q1,2054Q4,36,1.4778709887545483,0.09197177033166479,solved,0.11946480704322292
serious_crisis_500bp,2047Q1,2054Q4,32,1.557568512592998,0.09720802670754895,solved,0.43379313146499915
serious_crisis_500bp,2048Q1,2054Q4,28,1.6248397477688878,0.10271358725928091,solved,0.7333032043918541
serious_crisis_500bp,2049Q1,2054Q4,24,1.7026744915046483,0.10853870894856758,solved,1.017370585415584
serious_crisis_500bp,2050Q1,2054Q4,20,1.7953169015228927,0.11469913644721814,solved,1.2861611471395287
serious_crisis_500bp,2051Q1,2054Q4,16,1.8989092003330346,0.121213717447219,solved,1.5405859229532992
serious_crisis_500bp,2052Q1,2054Q4,12,2.017464511687225,0.12809914818975568,solved,1.7810792527053232
serious_crisis_500bp,2053Q1,2054Q4,8,2.1443359402701514,0.13537958334439767,solved,2.008622673484528
loss_of_confidence_1000bp,2045Q1,2054Q4,40,1.3851108729453743,0.13006200530947604,solved,0.0
loss_of_confidence_1000bp,2046Q1,2054Q4,36,1.4938332138590245,0.144609544179511,solved,0.4786648986746527
loss_of_confidence_1000bp,2047Q1,2054Q4,32,1.6043953361189038,0.16045332601099224,solved,0.9508346724926906
loss_of_confidence_1000bp,2048Q1,2054Q4,28,1.7161163916462199,0.1779595782897854,solved,1.3732897283810352
loss_of_confidence_1000bp,2049Q1,2054Q4,24,1.855006922920194,0.19739974031241247,solved,1.7597101613443957
loss_of_confidence_1000bp,2050Q1,2054Q4,20,2.0276325796933405,,no_solution,2.1087568356139283
loss_of_confidence_1000bp,2051Q1,2054Q4,16,2.2315248840658004,,no_solution,2.423586553690082
loss_of_confidence_1000bp,2052Q1,2054Q4,12,2.473638571941437,,no_solution,2.7073926378519793
loss_of_confidence_1000bp,2053Q1,2054Q4,8,2.7473903185695088,,no_solution,2.963327400152438
