quarter,quarter_end,calendar_year,calendar_quarter,fiscal_year,nominal_gdp_billions_saar,real_gdp_billions_chained_saar,annual_real_gdp_growth_rate,annual_inflation_rate,annual_tips_reference_inflation_rate,primary_deficit_billions,marketable_interest_excluding_tips_inflation_billions,bills_interest_cost_billions,notes_interest_cost_billions,bonds_interest_cost_billions,tips_real_interest_cost_billions,frns_interest_cost_billions,other_public_debt_interest_billions,tips_inflation_compensation_billions,tips_deflation_floor_cost_billions,modeled_debt_interest_cost_billions,modeled_total_deficit_billions,other_financing_adjustment_billions,treasury_debt_management_adjustment_billions,beginning_debt_held_by_public_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,primary_deficit_gdp_ratio_annualized,modeled_interest_gdp_ratio_annualized,modeled_total_deficit_gdp_ratio_annualized,marketable_debt_billions,other_public_debt_billions,bills_outstanding_billions,notes_outstanding_billions,bonds_outstanding_billions,nominal_fixed_rate_debt_outstanding_billions,tips_outstanding_billions,frns_outstanding_billions,bill_share_of_marketable_debt,weighted_average_remaining_maturity_quarters,principal_maturing_next_four_quarters_billions,principal_maturing_next_eight_quarters_billions,share_marketable_debt_maturing_next_four_quarters,share_marketable_debt_maturing_next_eight_quarters,principal_maturing_billions,principal_refinanced_billions,treasury_buyback_operation_count,treasury_buyback_cash_limit_billions,treasury_buyback_face_value_limit_billions,treasury_buyback_cash_spent_billions,treasury_buyback_face_value_retired_billions,treasury_buyback_premium_or_discount_billions,treasury_buyback_unfilled_cash_limit_billions,treasury_buyback_unfilled_face_value_limit_billions,treasury_buyback_weighted_price_per_dollar_face,treasury_buyback_notes_retired_billions,treasury_buyback_bonds_retired_billions,treasury_buyback_financing_issuance_billions,treasury_buyback_financing_instrument,frn_principal_reset_billions,principal_repriced_or_reset_billions,net_new_borrowing_requirement_billions,genuinely_new_borrowing_billions,debt_repayment_billions,gross_treasury_issuance_billions,new_borrowing_bill_share,new_borrowing_note_share,new_borrowing_bond_share,new_borrowing_tips_share,new_borrowing_frn_share,average_effective_marketable_rate_excluding_tips_inflation,average_effective_debt_cost_rate_including_tips_inflation,average_new_issuance_stated_rate,share_marketable_debt_repriced_since_scenario_start,cumulative_modeled_interest_billions,debt_identity_residual_billions,scenario
2035Q1,2035-03-31,2035,1,2035,42358.31906225067,26863.318029498183,0.017735654711652504,0.019722056747187633,0.02256874260208286,189.9905,1332.3631798406914,279.6935662694899,770.1220672271514,177.74396888722111,74.24332069172998,30.56025676509912,5.709630652454863,29.177424371852776,0.0,1367.2502348649991,1557.240734864999,-17.416,0.0,65255.70990168603,66795.53463655103,1.5769165565419845,0.017941269078292365,0.12911279438220005,0.1470540634604924,66212.7705995564,582.7640369946275,14101.721719116937,33922.3399482237,11316.237910574602,45238.5778587983,5350.22672555111,1522.2442960900476,0.21297585936105523,20.71455863915618,19066.016374378032,23745.24750557575,0.2879507412502954,0.35862035813578885,15153.417929021402,15153.4179290214,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1487.1171175230716,16640.53504654447,1510.6473104931463,1510.6473104931463,0.0,16664.065239514544,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08268481181783059,0.08380877240780263,0.08270684933752355,0.9007551973474877,27924.848282140178,0.0,no_fiscal_response
2035Q2,2035-06-30,2035,2,2035,42752.9723378467,26981.50286265861,0.017714424126451522,0.01972826196496369,0.022573755489187608,189.9905,1369.12409394174,286.26495089807383,790.3969080878315,183.86687396873003,77.31704631319427,31.27831467391026,5.709630652454863,29.941397525582737,0.0,1404.7751221197777,1594.7656221197776,-17.416,0.0,66795.53463655103,68372.8842586708,1.5992545200920287,0.017775652976699592,0.13143180885940065,0.14920746183610023,67790.12022167617,582.7640369946275,14435.05054470749,34724.177763594584,11583.724985413244,46307.90274900783,5488.940649416156,1558.2262785446972,0.2129373793335127,20.690027735454052,19218.35920736982,24015.6614767289,0.28349793663921946,0.35426491940413746,15426.128388697587,15426.128388697587,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1522.2442960900476,16948.372684787635,1547.4082245941952,1547.4082245941952,0.0,16973.53661329178,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.0829305063605123,0.08412389419523106,0.08276519286965664,0.9050476974729974,29329.623404259954,-1.4551915228366852e-11,no_fiscal_response
2035Q3,2035-09-30,2035,3,2035,43151.28712883536,27100.16043515168,0.017707331988727093,0.01973390522034224,0.022567910616891007,189.9905,1405.9062002207872,292.9954384312002,811.1614588797489,190.14011459138328,79.59542942575376,32.0137588927008,5.709630652454863,30.709792885829124,0.0,1442.3256237590713,1632.3161237590712,-17.416,0.0,68372.8842586708,69987.78438242988,1.6219164951782243,0.017611571996242123,0.13369943004970097,0.15131100204594308,69405.02034543524,582.7640369946275,14776.302642317589,35545.075374095664,11857.570264802314,47402.64563889798,5631.008506549593,1595.063557670091,0.21289962266093368,20.668093143646587,19373.525021311292,24301.087409164964,0.27913722847263,0.35013443246923914,15772.734901116548,15772.734901116546,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1558.2262785446972,17330.961179661244,1584.1903308732424,1584.1903308732424,0.0,17356.92523198979,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.0831754666287585,0.0843799783728539,0.082665307570315,0.9093265633204344,30771.949028019026,0.0,no_fiscal_response
2035Q4,2035-12-31,2035,4,2036,43553.56087408408,27219.290746977385,0.01769999094559438,0.019764486694536787,0.022571471840996393,242.76275,1443.6543556482127,299.8850621258354,831.8449240002474,196.56315561945394,82.5946207692373,32.766593133437844,5.7387688543045945,31.509571163647994,0.0,1480.9026956661653,1723.6654456661654,-16.55475,0.0,69987.78438242988,71694.89507809604,1.646131651218375,0.02229555931849903,0.13600749660378333,0.15830305592228236,71112.13104110141,582.7640369946275,15137.24563467832,36413.340337244896,12147.21693739064,48560.55727463553,5780.301713959055,1634.0264178285026,0.21286446367258055,20.553824879135018,19788.82994342528,24641.18854591901,0.278276429825844,0.34651174399030293,15872.206215784441,15872.206215784443,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1595.063557670091,17467.269773454533,1675.6011245025175,1675.6011245025175,0.0,17547.80734028696,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08337430093418503,0.08463778122045763,0.08244412573606782,0.9127717980181712,32252.85172368519,0.0,no_fiscal_response
2036Q1,2036-03-31,2036,1,2036,43959.12371141258,27338.799250269203,0.017678326506116004,0.019743412449576114,0.022574269177581208,242.76275,1482.707014162033,307.17255704170987,852.355809582659,203.35826655837604,86.25747835709024,33.56290262219746,5.7387688543045945,32.348950043846344,0.0,1520.794733060184,1763.557483060184,-16.55475,0.0,71694.89507809604,73441.89781115623,1.670686119525385,0.022089862536270204,0.13838262500809206,0.16047248754436227,72859.1337741616,582.7640369946275,15506.601001092455,37301.84165295414,12443.61430525414,49745.45595820828,5933.179442906812,1673.8973719540513,0.21282988415917234,20.503421196260714,20195.894454312554,24977.053845978982,0.277190976726582,0.3428129398765474,16349.179915912771,16349.179915912771,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1634.0264178285026,17983.206333741273,1714.6537830163377,1714.6537830163377,0.0,18063.83369892911,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08362477031977883,0.08484814610042223,0.08240461899749202,0.9173007090880897,33773.64645674537,0.0,no_fiscal_response
2036Q2,2036-06-30,2036,2,2036,44368.391695384074,27458.59139716061,0.017642589134278408,0.019772661061247865,0.022576315037704076,242.76275,1523.7121651594723,314.62893431216594,873.3367024073548,210.61643799742146,90.74823842259397,34.381852019936225,5.7387688543045945,33.207501032818094,0.0,1562.658435046595,1805.4211850465952,-16.55475,0.0,73441.89781115623,75230.76424620283,1.6955936731425305,0.021886098704385192,0.14088033172580997,0.16276643043019515,74648.0002092082,582.7640369946275,15884.789330009891,38211.59106607696,12747.099878879566,50958.69094495653,6089.798112762394,1714.7218214793852,0.21279591262312778,20.389360925620682,20692.322843412872,25437.444159465966,0.2771986226746952,0.3407652460638608,16650.650800017695,16650.650800017695,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1673.8973719540513,18324.548171971746,1755.658934013777,1755.658934013777,0.0,18406.30973403147,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08381805174051861,0.08510991581751955,0.08242393716041527,0.920629550375012,35336.304891791966,0.0,no_fiscal_response
2036Q3,2036-09-30,2036,3,2036,44780.96019760952,27578.572639785074,0.01759302613883751,0.01977588746711989,0.022577621701592054,242.76275,1564.7351143023964,322.3023755059007,894.8127890350723,217.73848569647615,94.66536465631472,35.21609940863288,5.7387688543045945,34.08603871270013,0.0,1604.5599218694013,1847.3226718694013,-16.55475,0.0,75230.76424620283,77061.53216807223,1.7208548416115894,0.02168446133613357,0.14332519131245025,0.16500965264858383,76478.7681310776,582.7640369946275,16271.81445534778,39142.59779927733,13057.676734878378,52200.27453415571,6250.178961308194,1756.50018026592,0.21276250720277531,20.27058337233633,21209.90699875407,25852.49758035177,0.2773306568223253,0.3380349633252847,17036.46522923479,17036.46522923479,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1714.7218214793852,18751.187050714176,1796.6818831567011,1796.6818831567011,0.0,18833.14711239149,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.08400380370768994,0.08531403012832688,0.08240741468032482,0.9238693327341557,36940.86481366137,-1.4551915228366852e-11,no_fiscal_response
2026Q4,2026-12-31,2026,4,2027,32494.749328920883,24334.483486635447,-0.02,0.02374108660242924,0.02771554138299126,-291.475802936378,262.77373580186674,55.91196830625741,138.7066086465815,45.90202768161394,6.830451248587104,15.422679918826764,4.968063415379199,15.669722733652822,0.0,283.41152195089876,-8.064280985479229,5.538,0.0,32215.665354410852,32213.139073425373,0.991333668936942,-0.03587974167592172,0.03488705440772952,-0.0009926872681922036,31630.375036430745,582.7640369946275,6799.874527972928,16357.41081391936,5447.204894683637,21804.615708602996,2291.8559755374054,734.0288243174178,0.21497925712676735,24.297363617819933,10270.933513503749,13255.297746887401,0.3247174117181365,0.419068624119076,7665.516018009889,7665.51601800989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,734.0288243174178,8399.544842327308,-18.196003719132054,0.0,18.196003719132054,7665.51601800989,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.04547795502855875,0.03518928059787473,0.08357558642930935,0.26281838960160936,283.41152195089876,0.0,wage_tax_only_closure
2027Q1,2027-03-31,2027,1,2027,32517.71732280901,24211.887731116716,-0.02,0.023296209984862815,0.026152401325720165,-291.81956411613896,359.6457166685532,140.72340335639973,149.92852214132316,45.81411704452698,7.805391627175742,15.37428249912676,4.968063415379199,14.839632535854301,0.0,379.4534126197867,87.63384850364776,5.538,0.0,32213.139073425373,32306.31092192902,0.9934987318211386,-0.0358966850248676,0.04667651285025785,0.010779827825390246,31723.546884934392,582.7640369946275,6816.748152617968,16398.00109379928,5460.745507291113,21858.746601090395,2312.201842878765,735.8502883472644,0.21487976036674708,24.301030570880243,10191.298809138778,12997.010503192263,0.32125344767103126,0.4096960075219263,7701.336201211398,7701.336201211398,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,734.0288243174178,8435.365025528816,78.33221596779342,78.33221596779342,0.0,7779.668417179191,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.04711173605986826,0.04711784365440144,0.08348175466947529,0.29008917773693155,662.8649345706855,0.0,wage_tax_only_closure
2027Q2,2027-06-30,2027,2,2027,32535.292940369363,24089.909606100784,-0.02,0.022616048740021766,0.02507028033791192,-292.08261778364704,373.67126581585205,140.83401683308705,162.32674288083592,46.126431274318435,8.993328602686539,15.390746224923967,4.968063415379199,14.357602482099075,0.0,392.99693171333035,100.91431392968332,5.538,0.0,32306.31092192902,32412.763235858703,0.9962339449429507,-0.035909634293931285,0.04831638460223666,0.012406750308305374,31829.999198864076,582.7640369946275,6836.586370821813,16445.722839787617,5476.6651234477895,21922.387963235407,2333.0330922417875,737.9917725650712,0.21478437143868329,24.298341715783845,10125.562133205547,12734.852395329452,0.31811380421168534,0.400089623495307,7718.958655806264,7718.958655806263,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,735.8502883472644,8454.808944153527,92.09471144758422,92.09471144758422,0.0,7811.053367253847,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.048755001276055546,0.04865884348888256,0.0834870390615445,0.3176153004474808,1055.8618662840158,0.0,wage_tax_only_closure
2027Q3,2027-09-30,2027,3,2027,32549.94864533719,23968.546000000006,-0.02,0.022248000239960097,0.024382592342289344,-292.3019692191494,388.0092698496853,141.03877683005405,175.1117436059092,46.49449279986079,9.960452385511006,15.40380422835021,4.968063415379199,14.093135225796457,0.0,407.070468490861,114.76849927171162,5.538,0.0,32412.763235858703,32533.069735130415,0.9994814458729049,-0.03592042155323301,0.0500240996293153,0.014103678076082288,31950.305698135788,582.7640369946275,6859.465902762217,16500.760605799307,5495.025308954017,21995.785914753324,2354.592321905149,740.4615587151038,0.21469171430063808,24.34305298352626,9996.480064177324,12409.050773603276,0.31287588164643415,0.3883859794908726,7773.632955343267,7773.632955343267,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,737.9917725650712,8511.624727908338,106.21336404591514,106.21336404591514,0.0,7879.846319389182,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.05051916959130499,0.050235824144794064,0.08345074741017941,0.3463503162144087,1462.9323347748768,0.0,wage_tax_only_closure
