quarter,quarter_end,calendar_year,calendar_quarter,fiscal_year,nominal_gdp_billions_saar,real_gdp_billions_chained_saar,annual_real_gdp_growth_rate,annual_inflation_rate,annual_tips_reference_inflation_rate,primary_deficit_billions,marketable_interest_excluding_tips_inflation_billions,bills_interest_cost_billions,notes_interest_cost_billions,bonds_interest_cost_billions,tips_real_interest_cost_billions,frns_interest_cost_billions,other_public_debt_interest_billions,tips_inflation_compensation_billions,tips_deflation_floor_cost_billions,modeled_debt_interest_cost_billions,modeled_total_deficit_billions,other_financing_adjustment_billions,beginning_debt_held_by_public_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,primary_deficit_gdp_ratio_annualized,modeled_interest_gdp_ratio_annualized,modeled_total_deficit_gdp_ratio_annualized,marketable_debt_billions,other_public_debt_billions,bills_outstanding_billions,notes_outstanding_billions,bonds_outstanding_billions,nominal_fixed_rate_debt_outstanding_billions,tips_outstanding_billions,frns_outstanding_billions,principal_maturing_billions,principal_refinanced_billions,frn_principal_reset_billions,principal_repriced_or_reset_billions,net_new_borrowing_requirement_billions,genuinely_new_borrowing_billions,debt_repayment_billions,gross_treasury_issuance_billions,average_effective_marketable_rate_excluding_tips_inflation,average_effective_debt_cost_rate_including_tips_inflation,average_new_issuance_stated_rate,share_marketable_debt_repriced_since_scenario_start,cumulative_modeled_interest_billions,debt_identity_residual_billions,mechanism
2054Q1,2054-03-31,2054,1,2054,88891.20434754388,38714.97092715584,0.0148290126082804,0.01979116344579368,0.022725734639350792,-163.1733366486569,1152.5545141040711,195.07307681499586,661.3288443028457,220.85614328529695,53.56280937666713,21.733640324266116,6.073858175576505,68.45721562656355,0.0,1227.0855879062112,1063.9122512575543,0.0,120847.08430174543,121910.99655300299,1.3714629861055703,-0.007342608882232587,0.05521741310236242,0.04787480422012983,121328.23251600836,582.7640369946275,25263.944282922927,60773.57952940524,20273.609830031444,81047.18935943668,12289.921593637535,2727.177280011201,28164.53794697904,28164.53794697904,2704.0299003752557,30868.567847354294,995.4550356309908,995.4550356309908,0.0,29159.99298261003,0.03831681220194317,0.04061614212693051,0.032313026322549177,0.9184478640977188,38844.79580689347,0.0,fiscal_closure
2054Q2,2054-06-30,2054,2,2054,89657.12740982682,38857.705827666825,0.014829012608279513,0.01979116344579479,0.022859099804621197,-168.76855996294057,1162.5328295464308,196.7429661032623,666.9900353352211,222.7396883893665,54.140452330491506,21.919687388090026,6.073858175576505,69.63998174301116,0.0,1238.2466694650186,1069.478109502078,0.0,121910.99655300299,122980.47466250506,1.371675383936357,-0.007529510027306219,0.05524364677913164,0.04771413675182542,122397.71062551043,582.7640369946275,25479.32046072112,61291.67682741921,20446.443198664056,81738.12002608326,12429.843558737191,2750.4265799688455,28242.806963532683,28242.806963532686,2727.177280011201,30969.984243543888,999.8381277590668,999.8381277590668,0.0,29242.645091291753,0.03831030515712128,0.04062789098526214,0.03242663238503756,0.9221128665207013,40083.04247635849,0.0,fiscal_closure
2054Q3,2054-09-30,2054,3,2054,90429.64997924482,39000.96696522091,0.014829012608281289,0.019791163445792792,0.022859099804621197,-174.41199401535607,1172.581936572994,198.42020808786572,672.6761531809244,224.6225602361161,54.75646143158861,22.10655363649959,6.073858175576505,70.43283977882102,0.0,1249.0886345273916,1074.6766405120356,0.0,122980.47466250506,124055.15130301709,1.3718415512112445,-0.0077148145129561675,0.05525128693140267,0.0475364724184465,123472.38726602246,582.7640369946275,25695.645669146827,61812.05706224111,20620.038137875017,82432.09520011613,12570.86807143745,2773.7783253220464,28594.514534893693,28594.5145348937,2750.4265799688455,31344.941114862544,1004.2438007332145,1004.2438007332145,0.0,29598.758335626913,0.038305255883370797,0.04062721787195119,0.0323721982655125,0.9266090017195091,41332.13111088588,0.0,fiscal_closure
2054Q4,2054-12-31,2054,4,2055,91208.82891985717,39144.756279956215,0.014829012608279513,0.01979116344579368,0.022859099804622085,-157.67540670938968,1182.7223708627396,200.10484064848092,678.3873262580947,226.55863699193975,55.37732367444887,22.294243289775945,6.0767719957614785,71.23194532355305,0.0,1260.031088182054,1102.3556814726644,0.0,124055.15130301709,125157.50698448975,1.3722082441652923,-0.006914918591836541,0.055259171863250675,0.04834425327141414,124574.74294749512,582.7640369946275,25917.761112600194,62346.36597363888,20798.27957901221,83144.64555265108,12714.5811707105,2797.755111533338,28707.06042463036,28707.06042463036,2773.7783253220464,31480.838749952407,1031.1237361491114,1031.1237361491114,0.0,29738.18416077947,0.03829751711044616,0.04062809403550852,0.03242539429134223,0.9301779365404386,42592.162199067934,0.0,fiscal_closure
2045Q1,2045-03-31,2045,1,2045,66933.80804169504,33723.099819437724,0.01623329428827147,0.16493788265130305,0.023076797027411944,328.847015,911.9502825328448,144.80982414041094,490.92840081309646,154.44128353369015,34.665251763658326,87.10552228198861,6.028693962709422,45.997226841836266,0.0,963.9762033373904,1292.8232183373905,0.0,88880.40510412892,90173.22832246631,1.3472000318029829,0.01965207267425463,0.057607731072877325,0.07725980374713196,89590.46428547168,582.7640369946275,18863.74210048861,45377.59891835855,15137.626294487594,60515.22521284614,8175.204923028136,2036.2920491087843,20096.617370823933,20096.617370823937,2007.2995245525972,22103.916895376533,1246.8259914955543,1246.8259914955543,0.0,21343.443362319493,0.07413004588663594,0.04338306974222417,0.1716564805749372,0.25795108854825316,963.9762033373904,0.0,inflationary_closure_or_best_bound
2045Q2,2045-06-30,2045,2,2045,69818.34996271943,33859.133743930186,0.01623329428827147,0.16493788265130305,0.16669123646838457,328.847015,1661.7169881676737,813.8644944294119,555.3346969668316,167.6374896804613,36.5166721243255,88.36363496664288,6.028693962709422,321.24753386082887,0.0,1988.9932159912119,2317.8402309912117,0.0,90173.22832246631,92491.06855345753,1.3247386769072107,0.018840148194598862,0.113952461898814,0.13279261009341287,91908.3045164629,582.7640369946275,19293.830223544617,46412.195672471265,15482.760003686832,61894.9556761581,8636.799669916574,2082.7189468435863,20251.90256840058,20251.90256840058,2036.2920491087843,22288.19461750936,1996.5926971303832,1996.5926971303832,0.0,22248.49526553096,0.07770239725741643,0.08822987722601751,0.17260954875760723,0.2857847426076987,2952.9694193286023,1.4551915228366852e-11,inflationary_closure_or_best_bound
2045Q3,2045-09-30,2045,3,2045,72827.20248757144,33995.71640886204,0.01623329428827036,0.16493788265130305,0.16669123646838568,328.847015,1786.8329606818559,832.4203806881627,638.6569454282526,186.78757840042329,38.58975466472684,90.37830150029025,6.028693962709422,339.38606072066875,0.0,2132.247715365234,2461.0947303652338,0.0,92491.06855345753,94952.16328382277,1.3038007782878538,0.01806176833751759,0.11711270747927573,0.13517447581679332,94369.39924682814,582.7640369946275,19750.869709219696,47511.62516850321,15849.521428812284,63361.1465973155,9125.327766000348,2132.055174292584,20746.703917962714,20746.703917962714,2082.7189468435863,22829.4228648063,2121.7086696445654,2121.7086696445654,0.0,22868.41258760728,0.08118981621718384,0.09221421046218524,0.17208299255282364,0.31385754042811304,5085.217134693836,0.0,inflationary_closure_or_best_bound
2045Q4,2045-12-31,2045,4,2046,75965.72283644314,34132.8500277699,0.01623329428827236,0.16493788265130305,0.16669123646838457,341.5111875,1917.0005833109926,852.1390668301659,725.1205289469316,206.4374818986569,40.78428903642701,92.51921659881086,6.044719973726774,358.5829429476271,0.0,2281.6282462323466,2623.1394337323463,0.0,94952.16328382277,97575.30271755511,1.2844648753970018,0.017982383356519128,0.12013988209628557,0.13812226545280468,96992.53868056048,582.7640369946275,20238.680193589254,48685.07571664863,16240.975721156967,64926.051437805596,9643.093997899201,2184.7130512664166,21341.29351967673,21341.293519676732,2132.055174292584,23473.348693969318,2264.5564907847197,2264.5564907847197,0.0,23605.85001046145,0.08471140865109374,0.09611695688964142,0.17167632823039836,0.34289557777344004,7366.845380926183,0.0,inflationary_closure_or_best_bound
2046Q1,2046-03-31,2046,1,2046,79221.79786459426,34268.80739428492,0.01602817697257164,0.1641322632752309,0.16669123646838369,341.5111875,2055.7236442946205,873.1853486932176,815.5246026484563,229.0987051761728,43.11071515121551,94.8042726255584,6.044719973726774,378.9287479372216,0.0,2440.697112205569,2782.2082997055686,0.0,97575.30271755511,100357.51101726068,1.266791637180357,0.017243293977433342,0.12323361387870563,0.14047690785613895,99774.74698026605,582.7640369946275,20756.373157749902,49930.4099438341,16656.40986911144,66586.81981294554,10190.957345117347,2240.59666445325,21999.03937401089,21999.039374010892,2184.7130512664166,24183.752425277307,2403.2795517683476,2403.2795517683476,0.0,24402.31892577924,0.08817868790161107,0.10005388840126876,0.1707852146936299,0.37298498519888207,9807.542493131752,0.0,inflationary_closure_or_best_bound
2046Q2,2046-06-30,2046,2,2046,82617.43616145509,34405.30630378551,0.01602817697257164,0.16413226327522978,0.1678623467551632,341.5111875,2201.24014298045,895.5208916783687,909.5379260354807,253.26128021347282,45.69073757148382,97.2293074816438,6.044719973726774,403.1141125530675,0.0,2610.3989755072444,2951.9101630072446,0.0,100357.51101726068,103309.42118026792,1.250455424184013,0.016534581723528768,0.12638489388152271,0.14291947560505147,102726.65714327329,582.7640369946275,21305.411983228896,51251.14808160513,17096.998195488643,68348.14627709378,10773.23490085597,2299.8639820946387,22401.239541074992,22401.239541074992,2240.59666445325,24641.83620552824,2548.7960504541766,2548.7960504541766,0.0,24950.03559152917,0.09154168565420027,0.10404399029219753,0.1715303534160256,0.40123669740523255,12417.941468638997,0.0,inflationary_closure_or_best_bound
