scenario,inflation_ceiling,sustained_breach_quarters,first_inflation_ceiling_breach,first_sustained_inflation_ceiling_breach,inflation_ceiling_breached,inflation_ceiling_breached_sustained,peak_inflation_rate,terminal_inflation_rate,terminal_four_quarter_inflation_change,peak_policy_rate,peak_short_issuance_rate,terminal_debt_gdp_ratio,terminal_four_quarter_debt_gdp_change,minimum_output_gap,maximum_output_gap,peak_gross_issuance_gdp_ratio_annualized,peak_interest_gdp_ratio_annualized,peak_total_deficit_gdp_ratio_annualized,peak_incremental_cash_interest_billions,cumulative_incremental_cash_interest_billions,rate_bound_ever_binding,interest_income_domestic_demand_fraction,fed_inflation_response,simulation_completed,simulation_error,strict_ceiling_defended,sustained_ceiling_defended,maximum_absolute_debt_identity_residual_billions,terminal_four_quarter_inflation_deviation_change,terminal_inflation_pressure_nonincreasing,terminal_debt_gdp_nonincreasing,peak_inflation_deviation_from_reference,terminal_inflation_deviation_from_reference,peak_debt_gdp_gap_from_reference_percentage_points,terminal_debt_gdp_gap_from_reference_percentage_points,first_positive_debt_yield_feedback,peak_debt_yield_long_adjustment_basis_points,terminal_debt_yield_long_adjustment_basis_points
demand_0.0600_phi_0.0,0.04,4.0,2048Q2,2050Q1,True,True,0.0445019495039157,0.0445019495039157,0.0011035803956276,0.0361380142486834,0.0858418332926625,1.8988767106524551,-0.0036302306706736,-0.0031497823868913,0.0102473966277541,1.82733682690936,0.1368221488837028,0.1528587420279256,1088.824822784758,70907.08059094293,False,0.06,0.0,True,,False,False,5.820766091346741e-11,0.00046106782484175296,False,True,,,,,,,
demand_0.0600_phi_0.5,0.04,4.0,,,False,False,0.0372472328781701,0.0372472328781701,0.0007744369349631,0.0424892711528235,0.0884116924577591,2.1783111176020737,0.0178299013667446,-0.0031497810032026,0.0092566111606564,2.066884213197955,0.1389384504768549,0.1553839225503488,1113.9346529275224,91570.98291942084,False,0.06,0.5,True,,True,True,5.820766091346741e-11,0.00013192436417725298,False,False,,,,,,,
demand_0.0600_phi_1.0,0.04,4.0,,,False,False,0.0330130765090962,0.0330130765090962,0.0006953697428057,0.0457377106933328,0.0907730770648413,2.3897287422835736,0.032517280403983,-0.0031497796195139,0.0083382426129323,2.2769117126055014,0.1409865147227848,0.157814986012046,1515.7502177309432,106163.10755020956,False,0.06,1.0,True,,True,True,5.820766091346741e-11,5.285717201985302e-05,False,False,,,,,,,
demand_0.0600_phi_1.5,0.04,4.0,,,False,False,0.031015356273731,0.0304357573272744,0.0006998301605909,0.0476675814649787,0.0929145298713845,2.5499241215513604,0.0426925944667901,-0.0031497782358252,0.0074977558302477,2.4376569852858303,0.1429462759467382,0.1601288888911382,1798.0466245871262,116666.87229487504,False,0.06,1.5,True,,True,True,5.820766091346741e-11,5.7317589805052976e-05,False,False,,,,,,,
demand_0.0600_phi_2.0,0.04,4.0,,,False,False,0.0296768930270823,0.0287860569053057,0.0007242889384473,0.0494244082724636,0.0948309339246964,2.6730601277406807,0.0500707404461948,-0.0031497768521364,0.006738192332639,2.561200577403115,0.1448017350893828,0.1637158414786532,1999.3158575462348,124440.12932654069,False,0.06,2.0,True,,True,True,5.820766091346741e-11,8.177636766145302e-05,False,False,,,,,,,
demand_0.0600_phi_2.5,0.04,4.0,,,False,False,0.0285968768819025,0.0276694376566523,0.0007474482704749,0.050871671633441,0.0965227892086375,2.769694814343461,0.0557388685014124,-0.0031497754684477,0.0060604453361835,2.6582212720598783,0.150134230998812,0.1706164882049593,2152.6375385430388,130376.39828523788,False,0.06,2.5,True,,True,True,5.820766091346741e-11,0.00010493569968905302,False,False,,,,,,,
demand_0.0600_phi_3.0,0.04,4.0,,,False,False,0.0277003175651788,0.0268697656859855,0.0007642113838572,0.0519605740456948,0.0979955189906142,2.8472749594512523,0.0603321679381521,-0.003149774084759,0.0054680124127137,2.73620444549112,0.1557595733026078,0.1763285674679494,2276.02483915666,135053.59175935818,False,0.06,3.0,True,,True,True,5.820766091346741e-11,0.00012169881307135303,False,False,,,,,,,
demand_0.0600_phi_4.0,0.04,4.0,,,False,False,0.0263853941666964,0.0257916898092654,0.0007811342169492,0.0534956060057752,0.1003259615757336,2.964195093163976,0.0675773743945011,-0.0031497713173815,0.0045182658759137,2.853976416538421,0.1647345828288311,0.1854319329361301,2468.2485982399894,141991.0455936651,False,0.06,4.0,True,,True,True,5.820766091346741e-11,0.00013862164616335298,False,False,,,,,,,
demand_0.0600_phi_5.0,0.04,4.0,,,False,False,0.0254610086529142,0.0250799388894922,0.000785700585566,0.0547964948250755,0.1019396652704748,3.0485539510090485,0.0732196097311859,-0.0031497685500041,0.0047074096861866,2.9391769566304946,0.1716931280203897,0.192487728464872,2614.9294317403105,146939.80774751445,False,0.06,5.0,True,,True,True,5.820766091346741e-11,0.00014318801478015294,False,False,,,,,,,
demand_0.0600_phi_6.0,0.04,4.0,,,False,False,0.0247702608287482,0.024561484241235,0.0007850416820894,0.0558197296924343,0.1029935045015937,3.112513952341158,0.0778024719844987,-0.0031497657826266,0.0050146315479463,3.0039072651630905,0.1772710623122167,0.1981442948031166,2731.469431037907,150661.8783905051,False,0.06,6.0,True,,True,True,5.820766091346741e-11,0.00014252911130355303,False,False,,,,,,,
